date,ticker,sector,open,high,low,close,volume,period_return_pct,ma_short,ma_long,volatility_ann,dollar_volume,range_pct
2019-01-04,AAPL,Technology,37.6152,37.8122,33.6931,35.1784,221962468.0,-5.1012,43.809,44.3127,30.8744,7808284484.2912,12.2254
2019-01-11,AAPL,Technology,35.2828,36.6661,34.6184,36.1346,203706070.0,2.7181,42.5488,44.2115,32.7599,7360837357.022,5.915
2019-01-18,AAPL,Technology,35.7929,37.4609,35.4061,37.2094,155291399.0,2.9744,41.4222,44.1248,34.6284,5778299781.9506,5.8035
2019-01-25,AAPL,Technology,37.1122,37.5203,35.9946,37.4325,112513982.0,0.5996,40.3675,44.0736,35.106,4211679631.215,4.2386
2019-02-01,AAPL,Technology,36.965,40.0994,36.4596,39.511,202296864.0,5.5527,39.6331,44.1119,38.1001,7992951393.504,9.9831
2019-02-08,AAPL,Technology,39.8923,41.8368,39.8613,40.6072,151398457.0,2.7744,39.0248,44.1868,39.0604,6147867423.0904,4.9558
2019-02-15,AAPL,Technology,40.7597,41.1005,40.3308,40.6096,112229742.0,0.0059,38.6163,44.1895,38.0621,4557604930.7232,1.9084
2019-02-22,AAPL,Technology,40.4404,41.3006,40.3879,41.2172,81250012.0,1.4962,38.6422,44.19,31.176,3348897994.6064,2.2597
2019-03-01,AAPL,Technology,41.5008,41.9083,41.16,41.6938,120880541.0,1.1563,38.59,44.1965,30.351,5039969100.3458,1.8179
2019-03-08,AAPL,Technology,41.8653,42.3562,40.3903,41.2029,116779738.0,-1.1774,38.6842,44.1765,27.9956,4811663866.8402,4.8673
2019-03-15,AAPL,Technology,41.8178,44.6391,41.7844,44.3508,158133562.0,7.64,39.0755,44.2258,31.1196,7013349981.5496,6.8321
2019-03-22,AAPL,Technology,44.2745,47.1078,44.0195,45.5255,182343335.0,2.6487,39.8263,44.3568,22.5143,8301271497.5425,7.0156
2019-03-29,AAPL,Technology,45.6351,45.9616,43.9838,45.2634,167838582.0,-0.5757,40.4566,44.47,22.6918,7596944872.4988,4.4967
2019-04-05,AAPL,Technology,45.6662,46.9672,44.8893,46.9434,111540445.0,3.7116,41.3616,44.6127,17.7277,5236087725.813,4.6289
2019-04-12,AAPL,Technology,46.8052,48.3374,46.7551,47.389,132006698.0,0.9492,42.2274,44.7354,17.8867,6255665411.522,3.3841
2019-04-18,AAPL,Technology,47.3199,48.6472,47.1841,48.5781,96335577.0,2.5092,43.1019,44.9216,17.8162,4679799293.0637,3.1009
2019-04-26,AAPL,Technology,48.3326,49.679,48.1634,48.6829,97495453.0,0.2157,43.9673,45.1252,17.972,4746361388.8537,3.1466
